name,latitude,longitude,radius_coef
Чижовка,53.83975,27.63075,1
Шабаны,53.84200,27.69949,1
Уручье,53.94753,27.69477,1
Степнянка,53.91173,27.67104,1
Северный посёлок,53.87736,27.67400,1
Малиновка,53.86016,27.46285,1
Курасовщина,53.84732,27.51826,1
Лошица,53.84263,27.57251,1
Серебрянка,53.86263,27.60581,1
Кунцевщина,53.90697,27.43585,1
Раковское шоссе,53.91224,27.48771,1
Грушевка,53.88675,27.51483,1
Зелёный луг,53.94625,27.62966,1
Калинина,53.93114,27.60691,1
Партизанский,53.87677,27.61938,1
Ленина,53.89181,27.54858,1
Якуба Коласа,53.91349,27.57498,1
Боровляны,53.99906,27.68305,1
Колодищи,53.94557,27.77511,1
Сеница,53.82144,27.52152,1
Мачулищи,53.78145,27.59606,1
Гатово,53.78223,27.63692,1
Новинки,53.95894,27.54397,2
Озерцо,53.84401,27.39770,1
Сосны,53.82644,27.77181,1
Большевик,54.00515,27.56767,1
Околица,54.03807,27.77985,1
Прилуки,53.79507,27.45804,1
