name,latitude,longitude
Каменная горка,53.906944,27.435278
Кунцевщина,53.906389,27.455556
Спортивная,53.908333,27.479167
Пушкинская,53.909444,27.495278
Молодёжная,53.906389,27.521111
Фрунзенская,53.905278,27.539444
Немига,53.905833,27.553889
Купаловская,53.901703,27.560961
Первомайская,53.893889,27.570278
Пролетарская,53.889983,27.586556
Тракторный завод,53.889825,27.615056
Партизанская,53.874597,27.630144
Автозаводская,53.869044,27.648647
Могилёвская,53.861994,27.674303
Уручье,53.945833,27.689722
Борисовский тракт,53.939167,27.667222
Восток,53.934561,27.651031
Московская,53.927975,27.62735
Парк Челюскинцев,53.9244,27.613886
Академия наук,53.921619,27.597144
Площадь Якуба Коласа,53.915961,27.583889
Площадь Победы,53.908964,27.574492
Октябрьская,53.901667,27.560833
Площадь Ленина,53.891667,27.547967
Институт культуры,53.885239,27.539858
Грушевка,53.886667,27.514722
Михалово,53.876667,27.496944
Петровщина,53.864722,27.486111
Малиновка,53.849722,27.474722
Площадь Франтишка Богушевича,53.89640,27.53784
Ковальская Слобода,53.87742,27.54967
